00000000) perceptual - 135.45325; gen_gan - 0.35222; feature_matching - 3.50610; equivariance_value - 0.38566; equivariance_jacobian - 0.71901; kp_distance - 4.03942; disc_gan - 0.46968
00000149) perceptual - 82.55762; gen_gan - 0.63534; feature_matching - 4.35239; equivariance_value - 0.23718; equivariance_jacobian - 0.44214; kp_distance - 1.33969; disc_gan - 0.23830
00000149) perceptual - 82.40334; gen_gan - 0.63374; feature_matching - 4.35617; equivariance_value - 0.23679; equivariance_jacobian - 0.44251; kp_distance - 1.33877; disc_gan - 0.23837
00000150) perceptual - 82.51154; gen_gan - 0.63633; feature_matching - 4.35801; equivariance_value - 0.23751; equivariance_jacobian - 0.43993; kp_distance - 1.35039; disc_gan - 0.23791
00000150) perceptual - 82.48035; gen_gan - 0.63507; feature_matching - 4.35335; equivariance_value - 0.23845; equivariance_jacobian - 0.43908; kp_distance - 1.34237; disc_gan - 0.23807
00000151) perceptual - 82.11119; gen_gan - 0.63273; feature_matching - 4.35047; equivariance_value - 0.23729; equivariance_jacobian - 0.43968; kp_distance - 1.31193; disc_gan - 0.23925
00000151) perceptual - 81.94282; gen_gan - 0.63511; feature_matching - 4.35420; equivariance_value - 0.23907; equivariance_jacobian - 0.43902; kp_distance - 1.30827; disc_gan - 0.23775
00000152) perceptual - 82.14086; gen_gan - 0.63653; feature_matching - 4.34481; equivariance_value - 0.23895; equivariance_jacobian - 0.43879; kp_distance - 1.38685; disc_gan - 0.23706
00000152) perceptual - 82.75671; gen_gan - 0.63662; feature_matching - 4.36442; equivariance_value - 0.23833; equivariance_jacobian - 0.43994; kp_distance - 1.39000; disc_gan - 0.23704
00000153) perceptual - 82.87767; gen_gan - 0.63887; feature_matching - 4.36554; equivariance_value - 0.23410; equivariance_jacobian - 0.43679; kp_distance - 1.38523; disc_gan - 0.23701
00000153) perceptual - 82.40894; gen_gan - 0.63691; feature_matching - 4.35506; equivariance_value - 0.23433; equivariance_jacobian - 0.43617; kp_distance - 1.38940; disc_gan - 0.23706
00000154) perceptual - 82.27338; gen_gan - 0.63740; feature_matching - 4.36590; equivariance_value - 0.23625; equivariance_jacobian - 0.43936; kp_distance - 1.32569; disc_gan - 0.23632
00000154) perceptual - 81.86414; gen_gan - 0.63573; feature_matching - 4.35043; equivariance_value - 0.23671; equivariance_jacobian - 0.43717; kp_distance - 1.32344; disc_gan - 0.23831
00000155) perceptual - 82.55434; gen_gan - 0.63742; feature_matching - 4.37110; equivariance_value - 0.23242; equivariance_jacobian - 0.43868; kp_distance - 1.32961; disc_gan - 0.23457
00000155) perceptual - 82.56173; gen_gan - 0.64028; feature_matching - 4.37575; equivariance_value - 0.23407; equivariance_jacobian - 0.44133; kp_distance - 1.32580; disc_gan - 0.23704
00000156) perceptual - 82.01722; gen_gan - 0.63597; feature_matching - 4.36607; equivariance_value - 0.23760; equivariance_jacobian - 0.44019; kp_distance - 1.26114; disc_gan - 0.23677
00000156) perceptual - 82.57983; gen_gan - 0.63986; feature_matching - 4.38196; equivariance_value - 0.23557; equivariance_jacobian - 0.43684; kp_distance - 1.26028; disc_gan - 0.23477
00000157) perceptual - 82.23787; gen_gan - 0.64253; feature_matching - 4.37334; equivariance_value - 0.23128; equivariance_jacobian - 0.43466; kp_distance - 1.33539; disc_gan - 0.23805
00000157) perceptual - 82.07127; gen_gan - 0.63625; feature_matching - 4.36852; equivariance_value - 0.22861; equivariance_jacobian - 0.43205; kp_distance - 1.33534; disc_gan - 0.23538
00000158) perceptual - 81.75941; gen_gan - 0.63570; feature_matching - 4.36378; equivariance_value - 0.23342; equivariance_jacobian - 0.43329; kp_distance - 1.30372; disc_gan - 0.23586
00000158) perceptual - 82.03445; gen_gan - 0.64011; feature_matching - 4.37262; equivariance_value - 0.23209; equivariance_jacobian - 0.43193; kp_distance - 1.31092; disc_gan - 0.23552
00000159) perceptual - 85.29530; gen_gan - 0.54146; feature_matching - 3.65920; equivariance_value - 0.23436; equivariance_jacobian - 0.44246; kp_distance - 1.32898; disc_gan - 0.33693
00000159) perceptual - 85.09135; gen_gan - 0.54133; feature_matching - 3.65508; equivariance_value - 0.23370; equivariance_jacobian - 0.44159; kp_distance - 1.32373; disc_gan - 0.33897
00000160) perceptual - 82.37489; gen_gan - 0.37965; feature_matching - 2.60655; equivariance_value - 0.23095; equivariance_jacobian - 0.43248; kp_distance - 1.34592; disc_gan - 0.41939
00000160) perceptual - 82.54387; gen_gan - 0.38109; feature_matching - 2.61144; equivariance_value - 0.23219; equivariance_jacobian - 0.43354; kp_distance - 1.34404; disc_gan - 0.41764
00000161) perceptual - 82.27683; gen_gan - 0.58626; feature_matching - 4.08282; equivariance_value - 0.23201; equivariance_jacobian - 0.43205; kp_distance - 1.30904; disc_gan - 0.28028
00000161) perceptual - 82.31171; gen_gan - 0.58533; feature_matching - 4.08668; equivariance_value - 0.23014; equivariance_jacobian - 0.43108; kp_distance - 1.31577; disc_gan - 0.28307
00000162) perceptual - 82.09248; gen_gan - 0.64221; feature_matching - 4.39375; equivariance_value - 0.23272; equivariance_jacobian - 0.43572; kp_distance - 1.34009; disc_gan - 0.23307
00000162) perceptual - 81.56544; gen_gan - 0.63937; feature_matching - 4.37684; equivariance_value - 0.23278; equivariance_jacobian - 0.43355; kp_distance - 1.33843; disc_gan - 0.23456
00000163) perceptual - 82.38898; gen_gan - 0.64496; feature_matching - 4.42569; equivariance_value - 0.23030; equivariance_jacobian - 0.43389; kp_distance - 1.31915; disc_gan - 0.23015
00000163) perceptual - 82.58600; gen_gan - 0.64775; feature_matching - 4.42762; equivariance_value - 0.23129; equivariance_jacobian - 0.43619; kp_distance - 1.31959; disc_gan - 0.23012
00000164) perceptual - 82.28675; gen_gan - 0.64501; feature_matching - 4.41820; equivariance_value - 0.23734; equivariance_jacobian - 0.43745; kp_distance - 1.28805; disc_gan - 0.23106
00000164) perceptual - 81.69701; gen_gan - 0.64410; feature_matching - 4.40037; equivariance_value - 0.23597; equivariance_jacobian - 0.43413; kp_distance - 1.29014; disc_gan - 0.22998
00000165) perceptual - 81.91066; gen_gan - 0.64272; feature_matching - 4.41235; equivariance_value - 0.23563; equivariance_jacobian - 0.43389; kp_distance - 1.27456; disc_gan - 0.23162
00000165) perceptual - 82.32365; gen_gan - 0.64911; feature_matching - 4.42865; equivariance_value - 0.23581; equivariance_jacobian - 0.43557; kp_distance - 1.27400; disc_gan - 0.23053
00000166) perceptual - 82.00014; gen_gan - 0.64452; feature_matching - 4.42008; equivariance_value - 0.23709; equivariance_jacobian - 0.43796; kp_distance - 1.27734; disc_gan - 0.23153
00000166) perceptual - 82.11068; gen_gan - 0.64403; feature_matching - 4.41403; equivariance_value - 0.23782; equivariance_jacobian - 0.44016; kp_distance - 1.27867; disc_gan - 0.23162
00000167) perceptual - 82.07749; gen_gan - 0.64520; feature_matching - 4.42368; equivariance_value - 0.23640; equivariance_jacobian - 0.43355; kp_distance - 1.33564; disc_gan - 0.23250
00000167) perceptual - 81.84787; gen_gan - 0.64380; feature_matching - 4.41592; equivariance_value - 0.23674; equivariance_jacobian - 0.43548; kp_distance - 1.33645; disc_gan - 0.23208
00000168) perceptual - 81.95975; gen_gan - 0.64458; feature_matching - 4.42333; equivariance_value - 0.23677; equivariance_jacobian - 0.43807; kp_distance - 1.30879; disc_gan - 0.23268
00000168) perceptual - 81.92509; gen_gan - 0.64304; feature_matching - 4.41586; equivariance_value - 0.23798; equivariance_jacobian - 0.43909; kp_distance - 1.31084; disc_gan - 0.23066
00000169) perceptual - 81.82288; gen_gan - 0.64478; feature_matching - 4.42307; equivariance_value - 0.23675; equivariance_jacobian - 0.43480; kp_distance - 1.33244; disc_gan - 0.23174
00000169) perceptual - 81.72290; gen_gan - 0.64242; feature_matching - 4.42111; equivariance_value - 0.23692; equivariance_jacobian - 0.43517; kp_distance - 1.32657; disc_gan - 0.23216
00000170) perceptual - 82.36397; gen_gan - 0.66054; feature_matching - 4.37113; equivariance_value - 0.23688; equivariance_jacobian - 0.43772; kp_distance - 1.35766; disc_gan - 0.29496
00000170) perceptual - 82.58678; gen_gan - 0.66280; feature_matching - 4.38343; equivariance_value - 0.23528; equivariance_jacobian - 0.43761; kp_distance - 1.35762; disc_gan - 0.29007
00000171) perceptual - 81.81454; gen_gan - 0.33983; feature_matching - 1.96089; equivariance_value - 0.23125; equivariance_jacobian - 0.43244; kp_distance - 1.33197; disc_gan - 0.44352
00000171) perceptual - 81.76997; gen_gan - 0.34087; feature_matching - 1.96081; equivariance_value - 0.22990; equivariance_jacobian - 0.43077; kp_distance - 1.32496; disc_gan - 0.44279
00000172) perceptual - 81.24411; gen_gan - 0.39692; feature_matching - 2.50984; equivariance_value - 0.22880; equivariance_jacobian - 0.42860; kp_distance - 1.35263; disc_gan - 0.39972
00000172) perceptual - 81.21879; gen_gan - 0.39758; feature_matching - 2.50955; equivariance_value - 0.22792; equivariance_jacobian - 0.42767; kp_distance - 1.35577; disc_gan - 0.39948
00000173) perceptual - 81.57458; gen_gan - 0.53635; feature_matching - 3.79535; equivariance_value - 0.23542; equivariance_jacobian - 0.43548; kp_distance - 1.34550; disc_gan - 0.31235
00000173) perceptual - 81.54153; gen_gan - 0.53802; feature_matching - 3.79912; equivariance_value - 0.23688; equivariance_jacobian - 0.43692; kp_distance - 1.34489; disc_gan - 0.31222
00000174) perceptual - 81.52794; gen_gan - 0.64304; feature_matching - 4.39070; equivariance_value - 0.23327; equivariance_jacobian - 0.43461; kp_distance - 1.29745; disc_gan - 0.22868
00000174) perceptual - 81.63789; gen_gan - 0.64359; feature_matching - 4.40044; equivariance_value - 0.23505; equivariance_jacobian - 0.43492; kp_distance - 1.30191; disc_gan - 0.22937
00000175) perceptual - 81.66991; gen_gan - 0.64763; feature_matching - 4.42712; equivariance_value - 0.23189; equivariance_jacobian - 0.43176; kp_distance - 1.34776; disc_gan - 0.22820
00000175) perceptual - 81.54354; gen_gan - 0.64638; feature_matching - 4.41726; equivariance_value - 0.23372; equivariance_jacobian - 0.43477; kp_distance - 1.35144; disc_gan - 0.22775
00000176) perceptual - 81.62862; gen_gan - 0.64885; feature_matching - 4.42872; equivariance_value - 0.22953; equivariance_jacobian - 0.43002; kp_distance - 1.36092; disc_gan - 0.22786
00000176) perceptual - 81.10256; gen_gan - 0.64319; feature_matching - 4.41995; equivariance_value - 0.23150; equivariance_jacobian - 0.43171; kp_distance - 1.35861; disc_gan - 0.23162
00000177) perceptual - 81.54432; gen_gan - 0.64300; feature_matching - 4.42107; equivariance_value - 0.23738; equivariance_jacobian - 0.43423; kp_distance - 1.25516; disc_gan - 0.22881
00000177) perceptual - 81.59668; gen_gan - 0.64737; feature_matching - 4.42776; equivariance_value - 0.23555; equivariance_jacobian - 0.43419; kp_distance - 1.26044; disc_gan - 0.23155
00000178) perceptual - 81.09419; gen_gan - 0.64234; feature_matching - 4.41623; equivariance_value - 0.23356; equivariance_jacobian - 0.42955; kp_distance - 1.29955; disc_gan - 0.23291
00000178) perceptual - 81.62925; gen_gan - 0.64582; feature_matching - 4.42791; equivariance_value - 0.23257; equivariance_jacobian - 0.43086; kp_distance - 1.29815; disc_gan - 0.23065
00000179) perceptual - 80.91306; gen_gan - 0.64267; feature_matching - 4.40449; equivariance_value - 0.23356; equivariance_jacobian - 0.43066; kp_distance - 1.29644; disc_gan - 0.23231
00000179) perceptual - 81.29290; gen_gan - 0.64594; feature_matching - 4.41327; equivariance_value - 0.23251; equivariance_jacobian - 0.43004; kp_distance - 1.29952; disc_gan - 0.23042
00000180) perceptual - 81.24978; gen_gan - 0.64522; feature_matching - 4.40216; equivariance_value - 0.22697; equivariance_jacobian - 0.42779; kp_distance - 1.32008; disc_gan - 0.23234
00000180) perceptual - 81.45173; gen_gan - 0.64162; feature_matching - 4.41019; equivariance_value - 0.22656; equivariance_jacobian - 0.42917; kp_distance - 1.33721; disc_gan - 0.23187
00000181) perceptual - 81.45049; gen_gan - 0.64202; feature_matching - 4.40742; equivariance_value - 0.22744; equivariance_jacobian - 0.42833; kp_distance - 1.37405; disc_gan - 0.23276
00000181) perceptual - 81.27308; gen_gan - 0.64660; feature_matching - 4.40506; equivariance_value - 0.22599; equivariance_jacobian - 0.42787; kp_distance - 1.37173; disc_gan - 0.23290
00000182) perceptual - 81.35469; gen_gan - 0.40002; feature_matching - 2.34405; equivariance_value - 0.23080; equivariance_jacobian - 0.42982; kp_distance - 1.32309; disc_gan - 0.45751
00000182) perceptual - 81.50148; gen_gan - 0.40002; feature_matching - 2.34505; equivariance_value - 0.23059; equivariance_jacobian - 0.43084; kp_distance - 1.32902; disc_gan - 0.45715
00000183) perceptual - 80.79039; gen_gan - 0.36742; feature_matching - 2.08555; equivariance_value - 0.22988; equivariance_jacobian - 0.42888; kp_distance - 1.31275; disc_gan - 0.42077
00000183) perceptual - 80.34821; gen_gan - 0.36720; feature_matching - 2.07410; equivariance_value - 0.22883; equivariance_jacobian - 0.42785; kp_distance - 1.31769; disc_gan - 0.42066
00000184) perceptual - 81.03865; gen_gan - 0.49163; feature_matching - 3.40008; equivariance_value - 0.22831; equivariance_jacobian - 0.42795; kp_distance - 1.28680; disc_gan - 0.34697
00000184) perceptual - 80.85596; gen_gan - 0.48994; feature_matching - 3.39322; equivariance_value - 0.22888; equivariance_jacobian - 0.43087; kp_distance - 1.28643; disc_gan - 0.34762
00000185) perceptual - 81.06506; gen_gan - 0.65046; feature_matching - 4.38346; equivariance_value - 0.22630; equivariance_jacobian - 0.42598; kp_distance - 1.29761; disc_gan - 0.23071
00000185) perceptual - 81.29269; gen_gan - 0.64511; feature_matching - 4.38735; equivariance_value - 0.22658; equivariance_jacobian - 0.42896; kp_distance - 1.30243; disc_gan - 0.23102
00000186) perceptual - 80.71030; gen_gan - 0.65044; feature_matching - 4.43008; equivariance_value - 0.22795; equivariance_jacobian - 0.42815; kp_distance - 1.27278; disc_gan - 0.22544
00000186) perceptual - 80.88593; gen_gan - 0.64965; feature_matching - 4.43545; equivariance_value - 0.23122; equivariance_jacobian - 0.43158; kp_distance - 1.27069; disc_gan - 0.22751
00000187) perceptual - 80.66090; gen_gan - 0.65231; feature_matching - 4.44939; equivariance_value - 0.22871; equivariance_jacobian - 0.42825; kp_distance - 1.26328; disc_gan - 0.22419
00000187) perceptual - 80.72761; gen_gan - 0.64920; feature_matching - 4.44464; equivariance_value - 0.23092; equivariance_jacobian - 0.43157; kp_distance - 1.26003; disc_gan - 0.22635
00000188) perceptual - 81.69978; gen_gan - 0.65727; feature_matching - 4.47136; equivariance_value - 0.24255; equivariance_jacobian - 0.43713; kp_distance - 1.23610; disc_gan - 0.22337
00000188) perceptual - 82.05112; gen_gan - 0.66010; feature_matching - 4.46870; equivariance_value - 0.24316; equivariance_jacobian - 0.43708; kp_distance - 1.24591; disc_gan - 0.22487
00000189) perceptual - 80.95963; gen_gan - 0.65222; feature_matching - 4.45334; equivariance_value - 0.22814; equivariance_jacobian - 0.42895; kp_distance - 1.26378; disc_gan - 0.22716
00000189) perceptual - 80.90575; gen_gan - 0.65067; feature_matching - 4.44985; equivariance_value - 0.22759; equivariance_jacobian - 0.42822; kp_distance - 1.25528; disc_gan - 0.22572
00000190) perceptual - 81.12254; gen_gan - 0.64660; feature_matching - 4.44644; equivariance_value - 0.22704; equivariance_jacobian - 0.42847; kp_distance - 1.23745; disc_gan - 0.22865
00000190) perceptual - 80.43584; gen_gan - 0.64991; feature_matching - 4.43857; equivariance_value - 0.22644; equivariance_jacobian - 0.42815; kp_distance - 1.22962; disc_gan - 0.22948
00000191) perceptual - 80.71407; gen_gan - 0.65002; feature_matching - 4.44310; equivariance_value - 0.22988; equivariance_jacobian - 0.42806; kp_distance - 1.27720; disc_gan - 0.22858
00000191) perceptual - 81.00718; gen_gan - 0.65030; feature_matching - 4.44469; equivariance_value - 0.22863; equivariance_jacobian - 0.42757; kp_distance - 1.26664; disc_gan - 0.22673
00000192) perceptual - 80.85573; gen_gan - 0.65053; feature_matching - 4.45073; equivariance_value - 0.22784; equivariance_jacobian - 0.42855; kp_distance - 1.26273; disc_gan - 0.22927
00000192) perceptual - 81.09417; gen_gan - 0.64779; feature_matching - 4.45083; equivariance_value - 0.22452; equivariance_jacobian - 0.42796; kp_distance - 1.25685; disc_gan - 0.22849
00000193) perceptual - 80.74527; gen_gan - 0.64829; feature_matching - 4.44726; equivariance_value - 0.22616; equivariance_jacobian - 0.42675; kp_distance - 1.24512; disc_gan - 0.22934
00000193) perceptual - 80.89095; gen_gan - 0.64722; feature_matching - 4.44934; equivariance_value - 0.22698; equivariance_jacobian - 0.42622; kp_distance - 1.25075; disc_gan - 0.22832
00000194) perceptual - 80.60120; gen_gan - 0.64671; feature_matching - 4.43268; equivariance_value - 0.22338; equivariance_jacobian - 0.42548; kp_distance - 1.28544; disc_gan - 0.22945
00000194) perceptual - 80.77805; gen_gan - 0.64775; feature_matching - 4.44355; equivariance_value - 0.22260; equivariance_jacobian - 0.42581; kp_distance - 1.27604; disc_gan - 0.23060
00000195) perceptual - 80.44448; gen_gan - 0.64913; feature_matching - 4.44092; equivariance_value - 0.22432; equivariance_jacobian - 0.42538; kp_distance - 1.29468; disc_gan - 0.22921
00000195) perceptual - 80.81014; gen_gan - 0.65169; feature_matching - 4.44732; equivariance_value - 0.22198; equivariance_jacobian - 0.42252; kp_distance - 1.29295; disc_gan - 0.22678
00000196) perceptual - 80.51379; gen_gan - 0.64823; feature_matching - 4.43770; equivariance_value - 0.21999; equivariance_jacobian - 0.42329; kp_distance - 1.31483; disc_gan - 0.22942
00000196) perceptual - 80.33723; gen_gan - 0.64831; feature_matching - 4.43723; equivariance_value - 0.22132; equivariance_jacobian - 0.42485; kp_distance - 1.31313; disc_gan - 0.23004
00000197) perceptual - 81.01070; gen_gan - 0.65012; feature_matching - 4.46231; equivariance_value - 0.22105; equivariance_jacobian - 0.42239; kp_distance - 1.30708; disc_gan - 0.22911
00000197) perceptual - 80.58325; gen_gan - 0.64861; feature_matching - 4.44771; equivariance_value - 0.21911; equivariance_jacobian - 0.42113; kp_distance - 1.29965; disc_gan - 0.22770
00000198) perceptual - 80.88320; gen_gan - 0.65089; feature_matching - 4.44756; equivariance_value - 0.21860; equivariance_jacobian - 0.42396; kp_distance - 1.28035; disc_gan - 0.22979
00000198) perceptual - 80.62606; gen_gan - 0.64708; feature_matching - 4.44451; equivariance_value - 0.21805; equivariance_jacobian - 0.42244; kp_distance - 1.27399; disc_gan - 0.22749
00000199) perceptual - 80.38562; gen_gan - 0.64912; feature_matching - 4.44704; equivariance_value - 0.21288; equivariance_jacobian - 0.41813; kp_distance - 1.36038; disc_gan - 0.22926
00000199) perceptual - 80.42622; gen_gan - 0.64591; feature_matching - 4.44447; equivariance_value - 0.21297; equivariance_jacobian - 0.41850; kp_distance - 1.35569; disc_gan - 0.23044
00000200) perceptual - 80.58389; gen_gan - 0.64959; feature_matching - 4.45437; equivariance_value - 0.22394; equivariance_jacobian - 0.42348; kp_distance - 1.30448; disc_gan - 0.22880
00000200) perceptual - 80.47224; gen_gan - 0.65082; feature_matching - 4.44855; equivariance_value - 0.22178; equivariance_jacobian - 0.42191; kp_distance - 1.30271; disc_gan - 0.22752
00000201) perceptual - 80.41278; gen_gan - 0.65240; feature_matching - 4.44067; equivariance_value - 0.22982; equivariance_jacobian - 0.42643; kp_distance - 1.22511; disc_gan - 0.22807
00000201) perceptual - 80.76192; gen_gan - 0.64791; feature_matching - 4.44660; equivariance_value - 0.22624; equivariance_jacobian - 0.42254; kp_distance - 1.22576; disc_gan - 0.22783
00000202) perceptual - 80.15063; gen_gan - 0.64793; feature_matching - 4.43155; equivariance_value - 0.22756; equivariance_jacobian - 0.42064; kp_distance - 1.23421; disc_gan - 0.23047
00000202) perceptual - 80.45271; gen_gan - 0.64796; feature_matching - 4.44117; equivariance_value - 0.22778; equivariance_jacobian - 0.42319; kp_distance - 1.23930; disc_gan - 0.23048
00000203) perceptual - 80.29340; gen_gan - 0.65196; feature_matching - 4.45610; equivariance_value - 0.22572; equivariance_jacobian - 0.42389; kp_distance - 1.24912; disc_gan - 0.22646
00000203) perceptual - 80.41849; gen_gan - 0.64955; feature_matching - 4.45477; equivariance_value - 0.22460; equivariance_jacobian - 0.42385; kp_distance - 1.25130; disc_gan - 0.22865
00000204) perceptual - 81.87057; gen_gan - 0.65802; feature_matching - 4.48531; equivariance_value - 0.22922; equivariance_jacobian - 0.43100; kp_distance - 1.24148; disc_gan - 0.22462
00000204) perceptual - 81.89568; gen_gan - 0.65941; feature_matching - 4.48548; equivariance_value - 0.23260; equivariance_jacobian - 0.43422; kp_distance - 1.24848; disc_gan - 0.22833
00000205) perceptual - 80.38376; gen_gan - 0.65461; feature_matching - 4.45119; equivariance_value - 0.22121; equivariance_jacobian - 0.42178; kp_distance - 1.27654; disc_gan - 0.22349
00000205) perceptual - 80.21010; gen_gan - 0.64716; feature_matching - 4.45038; equivariance_value - 0.22027; equivariance_jacobian - 0.42123; kp_distance - 1.28275; disc_gan - 0.22461
00000206) perceptual - 80.45737; gen_gan - 0.65197; feature_matching - 4.46184; equivariance_value - 0.21801; equivariance_jacobian - 0.41749; kp_distance - 1.32894; disc_gan - 0.22785
00000206) perceptual - 80.67097; gen_gan - 0.65208; feature_matching - 4.46782; equivariance_value - 0.21818; equivariance_jacobian - 0.41953; kp_distance - 1.32032; disc_gan - 0.22772
00000207) perceptual - 80.28513; gen_gan - 0.64960; feature_matching - 4.45340; equivariance_value - 0.21843; equivariance_jacobian - 0.42022; kp_distance - 1.33062; disc_gan - 0.22752
00000207) perceptual - 80.44289; gen_gan - 0.65208; feature_matching - 4.45841; equivariance_value - 0.21859; equivariance_jacobian - 0.41998; kp_distance - 1.32511; disc_gan - 0.22712
00000208) perceptual - 80.36323; gen_gan - 0.65272; feature_matching - 4.45590; equivariance_value - 0.22488; equivariance_jacobian - 0.42209; kp_distance - 1.24546; disc_gan - 0.22646
00000208) perceptual - 80.37901; gen_gan - 0.65401; feature_matching - 4.45735; equivariance_value - 0.22189; equivariance_jacobian - 0.41962; kp_distance - 1.24935; disc_gan - 0.22636
00000209) perceptual - 80.04462; gen_gan - 0.65076; feature_matching - 4.44983; equivariance_value - 0.22200; equivariance_jacobian - 0.42149; kp_distance - 1.27075; disc_gan - 0.22810
00000209) perceptual - 80.33940; gen_gan - 0.65238; feature_matching - 4.45395; equivariance_value - 0.21939; equivariance_jacobian - 0.41902; kp_distance - 1.26794; disc_gan - 0.22774
00000210) perceptual - 80.44386; gen_gan - 0.65539; feature_matching - 4.46841; equivariance_value - 0.21593; equivariance_jacobian - 0.41374; kp_distance - 1.32794; disc_gan - 0.22640
00000210) perceptual - 80.51835; gen_gan - 0.65048; feature_matching - 4.47229; equivariance_value - 0.21764; equivariance_jacobian - 0.41554; kp_distance - 1.32341; disc_gan - 0.22626
00000211) perceptual - 80.51437; gen_gan - 0.65286; feature_matching - 4.47136; equivariance_value - 0.22594; equivariance_jacobian - 0.42130; kp_distance - 1.28009; disc_gan - 0.22627
00000211) perceptual - 80.67668; gen_gan - 0.65357; feature_matching - 4.47039; equivariance_value - 0.22579; equivariance_jacobian - 0.42030; kp_distance - 1.27949; disc_gan - 0.22559
00000212) perceptual - 80.23518; gen_gan - 0.65220; feature_matching - 4.46017; equivariance_value - 0.22238; equivariance_jacobian - 0.41907; kp_distance - 1.28475; disc_gan - 0.22744
00000212) perceptual - 80.19579; gen_gan - 0.65222; feature_matching - 4.46372; equivariance_value - 0.22031; equivariance_jacobian - 0.41624; kp_distance - 1.27849; disc_gan - 0.22733
00000213) perceptual - 79.99590; gen_gan - 0.65426; feature_matching - 4.46822; equivariance_value - 0.22058; equivariance_jacobian - 0.41567; kp_distance - 1.27315; disc_gan - 0.22554
00000213) perceptual - 80.32001; gen_gan - 0.65407; feature_matching - 4.47827; equivariance_value - 0.21942; equivariance_jacobian - 0.41444; kp_distance - 1.27753; disc_gan - 0.22502
00000214) perceptual - 80.20168; gen_gan - 0.65349; feature_matching - 4.47175; equivariance_value - 0.22013; equivariance_jacobian - 0.41497; kp_distance - 1.31775; disc_gan - 0.22756
00000214) perceptual - 80.06352; gen_gan - 0.65292; feature_matching - 4.46598; equivariance_value - 0.21935; equivariance_jacobian - 0.41450; kp_distance - 1.31369; disc_gan - 0.22690
00000215) perceptual - 79.73295; gen_gan - 0.65310; feature_matching - 4.46633; equivariance_value - 0.21333; equivariance_jacobian - 0.41263; kp_distance - 1.33624; disc_gan - 0.22763
00000215) perceptual - 80.07711; gen_gan - 0.65248; feature_matching - 4.46980; equivariance_value - 0.21549; equivariance_jacobian - 0.41439; kp_distance - 1.33468; disc_gan - 0.22621
00000216) perceptual - 80.00665; gen_gan - 0.65331; feature_matching - 4.47270; equivariance_value - 0.21409; equivariance_jacobian - 0.41759; kp_distance - 1.38435; disc_gan - 0.22748
00000216) perceptual - 80.00351; gen_gan - 0.65182; feature_matching - 4.47262; equivariance_value - 0.21167; equivariance_jacobian - 0.41427; kp_distance - 1.38760; disc_gan - 0.22559
00000217) perceptual - 79.54707; gen_gan - 0.64971; feature_matching - 4.46407; equivariance_value - 0.21404; equivariance_jacobian - 0.41561; kp_distance - 1.30191; disc_gan - 0.22852
00000217) perceptual - 79.95016; gen_gan - 0.65319; feature_matching - 4.47327; equivariance_value - 0.21388; equivariance_jacobian - 0.41406; kp_distance - 1.30278; disc_gan - 0.22709
00000218) perceptual - 80.00089; gen_gan - 0.65393; feature_matching - 4.47841; equivariance_value - 0.21059; equivariance_jacobian - 0.41284; kp_distance - 1.33987; disc_gan - 0.22647
00000218) perceptual - 79.88322; gen_gan - 0.65430; feature_matching - 4.47814; equivariance_value - 0.21125; equivariance_jacobian - 0.41317; kp_distance - 1.33772; disc_gan - 0.22481
00000219) perceptual - 80.01251; gen_gan - 0.65493; feature_matching - 4.47659; equivariance_value - 0.21234; equivariance_jacobian - 0.41544; kp_distance - 1.30328; disc_gan - 0.22449
00000219) perceptual - 79.99000; gen_gan - 0.65649; feature_matching - 4.47531; equivariance_value - 0.21471; equivariance_jacobian - 0.41821; kp_distance - 1.29910; disc_gan - 0.22492
00000220) perceptual - 79.75902; gen_gan - 0.65626; feature_matching - 4.47925; equivariance_value - 0.21591; equivariance_jacobian - 0.41468; kp_distance - 1.27515; disc_gan - 0.22556
00000220) perceptual - 79.91941; gen_gan - 0.65636; feature_matching - 4.48368; equivariance_value - 0.21656; equivariance_jacobian - 0.41656; kp_distance - 1.27357; disc_gan - 0.22417
00000221) perceptual - 79.65942; gen_gan - 0.65512; feature_matching - 4.47642; equivariance_value - 0.21243; equivariance_jacobian - 0.41052; kp_distance - 1.35803; disc_gan - 0.22468
00000221) perceptual - 79.41756; gen_gan - 0.65170; feature_matching - 4.46468; equivariance_value - 0.21654; equivariance_jacobian - 0.41558; kp_distance - 1.34661; disc_gan - 0.22798
00000222) perceptual - 79.75117; gen_gan - 0.65630; feature_matching - 4.49138; equivariance_value - 0.21373; equivariance_jacobian - 0.41367; kp_distance - 1.28224; disc_gan - 0.22473
00000222) perceptual - 79.69367; gen_gan - 0.65633; feature_matching - 4.48575; equivariance_value - 0.21344; equivariance_jacobian - 0.41389; kp_distance - 1.27839; disc_gan - 0.22548
00000223) perceptual - 80.04583; gen_gan - 0.55760; feature_matching - 3.50390; equivariance_value - 0.21405; equivariance_jacobian - 0.41386; kp_distance - 1.28863; disc_gan - 0.36243
00000223) perceptual - 80.00769; gen_gan - 0.56021; feature_matching - 3.50460; equivariance_value - 0.21120; equivariance_jacobian - 0.41178; kp_distance - 1.29058; disc_gan - 0.36813
00000224) perceptual - 80.37131; gen_gan - 0.34061; feature_matching - 1.74458; equivariance_value - 0.21858; equivariance_jacobian - 0.42083; kp_distance - 1.23025; disc_gan - 0.44544
